zone,nafo.sub,nafo,zone_easy
110,1A,1A,Greenland
120,1B,1B,Greenland
130,1C,1C,Greenland
140,1D,1D,Greenland
150,1E,1E,Greenland
160,1F,1F,Greenland
210,2G,2G,Labrador
220,2H,2H,Labrador
230,2J,2J,Labrador
310,3K,3K,eNL
311,3KA,3K,eNL
312,3KB,3K,eNL
313,3KC,3K,eNL
314,3KD,3K,eNL
315,3KE,3K,eNL
316,3KF,3K,eNL
317,3KG,3K,eNL
318,3KH,3K,eNL
319,3KI,3K,eNL
320,3L,3L,eNL
330,3M,3M,GrandBanks
340,3N,3N,GrandBanks
350,3O,3O,GrandBanks
370,3PN,3P,sNL
360,3PS,3P,sNL
410,4R,4R,wNL
411,4RA,4R,wNL
412,4RB,4R,wNL
413,4RC,4R,wNL
414,4RD,4R,wNL
420,4S,4S,nGSL
421,4SR,4S,nGSL
422,4SS,4S,nGSL
423,4ST,4S,nGSL
424,4SV,4S,nGSL
425,4SW,4S,nGSL
NA,4SZ,4S,nGSL
430,4T,4T,sGSL
431,4TF,4T,sGSL
432,4TG,4T,sGSL
433,4TH,4T,sGSL
434,4TJ,4T,sGSL
435,4TK,4T,sGSL
436,4TL,4T,sGSL
437,4TM,4T,sGSL
438,4TN,4T,sGSL
439,4TO,4T,sGSL
439,4TQ,4T,sGSL
442,4VBS,4V,SS
443,4VCS,4V,SS
470,4VN,4Vn,SS
440,4VS,4Vs,SS
450,4W,4W,SS
451,4WD,4W,SS
452,4WE,4We,SS
453,4WF,4W,SS
454,4WG,4W,SS
455,4WH,4W,SS
456,4WJ,4W,SS
457,4WK,4W,SS
458,4WL,4W,SS
459,4WM,4W,SS
460,4X,4X,SS
468,4XL,4X,SS
461,4XM,4X,SS
462,4XN,4X,SS
463,4XO,4X,SS
464,4XP,4X,SS
465,4XQ,4X,SS
466,4XR,4X,SS
467,4XS,4X,SS
469,4XX,4X,SS
510,5Y,5Y,US
511,5YB,5Y,US
512,5YC,5Y,US
513,5YD,5Y,US
514,5YE,5Y,US
515,5YF,5Y,US
520,5ZE,5Ze,US
521,5ZGE,5Ze,US
522,5ZHE,5Ze,US
523,5ZJE,5Ze,US
524,5ZME,5Ze,US
525,5ZNE,5Ze,US
526,5ZOE,5Ze,US
531,5ZQW,5Z,US
532,5ZRW,5Z,US
533,5ZSW,5Z,US
530,5ZW,5Z,US
610,6A,6A,US
620,6B,6B,US
630,6C,6C,US
640,6D,6D,US
650,6E,6E,US
660,6F,6F,US
670,6G,6G,US
680,6H,6H,US
700,700,700,NA
710,710,710,NA
720,720,720,NA
730,730,730,NA
