cod_esp,esp_nom_en,esp_nom_fr,esp_nom_latin,Remarques
0,Missing value,Donnée manquante,,
1,Groundfish,Poisson de fond,,
5,Pelagic and estuarial fish,Esp. pélagiques et estuaire,,
7,Molluscs and crustaceans,Mollusques et crustacés,,
9,Other items,Autres items,,
100,Cod,Morue,Gadus morhua,
101,Rock cod,Morue de roche,Gadus ogac,
105,Pacific cod,Morue du pacifique,Gadus macrocephalus Tilesius,
110,Haddock,Aiglefin,Melanogrammus aeglefinus,
116,Redfish,Sébaste Orangé,Sebastes Marinus,
117,Beaked Redfish,Sébaste Du Nord,Sebastes Mentella,
118,Acadian Redfish,Sébaste Rose,Sebastes Fasciatus,
120,Redfish,Sébaste,Sebastes sp,
121,Cunner,Tanche-tautogue,Tautogolabrus adspersus,
130,Atlantic halibut,Flétan Atlantique,Hippoglossus hippoglossus,
140,American plaice,Plie canadienne,Hippoglossoides platessoides,
141,Yellowtail,Limande à queue jaune,Pleuronectes ferrugineus,
142,Greysole (Witch),Plie grise,Glyptocephalus cynoglossus,
143,Winter flounder,Plie rouge,Pleuronectes americanus,
144,Greenland halibut,Flétan du Groenland,Reinhardtius hippoglossoides,
145,Windowpane flounder,Turbot de sable,Scophthalmus aquosus,
149,Unspecified flounders,Plies non spécifiées,Pleuronectiformes,
160,Skate,Raie,Raja spp.,Code utilisé dans les autres régions que le Québec
162,"Dogfish, black",Aiguillat noir,Centroscyllium fabricii,
168,Sea raven,Hémitriptère atlantique,Hemitripterus americanus,
170,Pollock,Goberge,Pollachius virens,
171,White hake,Merluche blanche,Urophycis tenuis,
172,Silver hake,Merlu argenté,Merluccius bilinearis,
173,Cusk,Brosme,Brosme brosme,
174,Catfish,Loup de mer,Anarhichadidae,
175,Tomcod,Poulamon,Microgadus tomcod,
176,Lumpfish,Poule de mer,Cyclopterus lumpus,
177,Monkfish,Baudroie,Lophius americanus,
178,Sand eel,Lançon,Gymnammodytes cicerellus,
179,Roundnose grenadier,Grenadier de roche,Coryphaenoides rupestris,
180,Red hake,Merluche écureuil,Urophycis chuss,
181,Sculpins,Chaboisseaux,Cottidae,
182,"Grenadier, rough-head",Grenadier à tête rude,Macrourus berglax,182
183,Ocean pout,Loquette d'Amérique,Zoarces americanus,
185,Wrymouth,Terrassier tacheté,,
188,"Hake, blue",Antimore bleu,Antimora rostrata,
191,Northern wolffish,Loup à tête large,Anarhichas denticulatus,
